program	table	dictionary	column	role	grain
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	participant_id	key	visit
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	GUID	key	visit
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	visit_name	key	visit
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	visit_month	key	visit
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	caff_drinks_ever_used_regularly	data	visit
AMP-PD	Caffeine_history.csv	pdrd/Caffeine_history_dictionary.csv	caff_drinks_current_use	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	participant_id	key	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	GUID	key	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	visit_name	key	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	visit_month	key	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	dti_brain_tissue	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi1_left_rostral	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi2_left_middle	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi3_left_caudal	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi4_right_rostral	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi5_right_middle	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	roi6_right_caudal	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	ref1_left_reference	data	visit
AMP-PD	DTI.csv	pdrd/DTI_dictionary.csv	ref2_right_reference	data	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	participant_id	key	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	GUID	key	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	visit_name	key	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	visit_month	key	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	sbr_caudate_r	data	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	sbr_caudate_l	data	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	sbr_putamen_r	data	visit
AMP-PD	DaTSCAN_SBR.csv	pdrd/DaTSCAN_SBR_dictionary.csv	sbr_putamen_l	data	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	participant_id	key	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	GUID	key	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	visit_name	key	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	visit_month	key	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	scan_months_after_baseline	data	visit
AMP-PD	DaTSCAN_visual_interpretation.csv	pdrd/DaTSCAN_visual_interpretation_dictionary.csv	datscan_visual_interpretation	data	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	participant_id	key	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	GUID	key	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	visit_name	key	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	visit_month	key	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	age_at_baseline	data	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	sex	data	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	ethnicity	data	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	race	data	visit
AMP-PD	Demographics.csv	pdrd/Demographics_dictionary.csv	education_level_years	data	visit
