program	table	dictionary	column	role	grain
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	FACSPopulation	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	altSampleID	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	anatomicalSite	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	biospecimenID	key	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	biospecimenSubtype	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	biospecimenType	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	cellOntologyID	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	cellType	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	individualID	key	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	krennInflammatory	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	krennLining	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	krennStroma	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	krennSynovitisScore	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	notes	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	parentBiospecimenID	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	primaryCellSource	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	program	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	project	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	salivaCollectionProcedure	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	sampleCollectionBatch	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	skinSiteStatus	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	synovialCollectionProcedure	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	userDefinedCellType	data	subject
AMP-RA-SLE	BiospecimenMetadataTemplate.csv	ark/model_templates/ark.BiospecimenMetadataTemplate.csv	visitID	data	subject
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	CDASI	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	PASI	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	VASI	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	VETI	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	VIDA	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	age	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	ageUnits	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	comorbidities	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	diabetesType	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	diagnosis	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	ethnicity	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	height	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	heightUnits	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	individualID	key	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	notes	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	program	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	project	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	race	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	sex	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	species	data	visit
AMP-RA-SLE	ClinicalMetadataTemplate.csv	ark/model_templates/ark.ClinicalMetadataTemplate.csv	visitID	key	visit
