program	table	dictionary	column	role	grain
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	participant_id	key	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	np_gender	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	np_age	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	raceC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	np_latino_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	pm_bmi	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	sc_disease_type	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	disease_categoryC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	max_kdigo_scrC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ckd_stageC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_diabetes_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_diabetes_type	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	diabetes_durationC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_ht_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ht_durationC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bp_type	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bp_guidance	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bp_laterality	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bp_location	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_retinopathy_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_dm_neuropathy_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_dm_pvd	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_cad_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_chol_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_hf_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_stroke_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_tia_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_af_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_clot_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_cancer_dx_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_1_kidney_dx_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_1_stones_dx_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	education	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	employment	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	insurance	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	income	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	relationship_status	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_alcohol_frequency	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_cigarette_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_sedative	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_painkiller	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_mj	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_cocaine	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_stimulant	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_club	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_hallucin	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_inhalant	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	mh_id_heroin	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bsc_bp_sys	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	bsc_bp_dia	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	a1c_most_recentC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	lab_egfr_most_recentC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	uacr_most_recentC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	upcr_most_recentC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_egfrcr	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_egfrcys	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_egfrcrcys	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_alb	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_alk	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_alt	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_ast	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_co2	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_tbil	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_dbili	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_bun	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_cre	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_glu	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_phos	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_hscrp	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_mg	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_totprot	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_uric	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_na	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_k	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_cl	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_calc	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_cystc	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_lip	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_ict	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	op_hem	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_m5	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_m4	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_m3	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_m2	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_m1	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d0	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d1	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d2	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d3	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d4	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_crrt_d5	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_hd_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	ah_crrt_yn	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	raas_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	diuretics_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	aceiarb_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	metformin_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	sglt2i_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	insulin_ynC	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	adj_cm_dm_kd	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	adj_cm_ht_kd	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	adj_cm_ati	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	adj_cm_ain	data	subject
AMP-CMD	KPMP_kidney_subject.csv	xlsx/KPMP_kidney	adj_primary_dxC	data	subject
AMP-CMD	FUSION_muscle_subject.csv	xlsx/FUSION_muscle	subject_id	key	subject
