"FMAID","anatomicalSite"
"fma67504","Subdivision of cardinal body part"
"fma231430","Subdivision of body proper"
"fma24218","Subdivision of head"
"fma9661","Limb region"
"fma329137","Subdivision of hip"
"fma14181","Back of body proper"
"fma241863","Free limb region"
"fma24219","Subdivision of neck"
"fma24728","Face"
"fma24864","Axilla"
"fma24875","Free limb"
"fma24964","Hip"
"fma25054","Subdivision of trunk"
"fma25202","Shoulder"
"fma25245","Buttock"
"fma259204","Front of body proper"
"fma302822","Cervicothoracic region"
"fma312822","Region of buttock"
"fma321487","Subdivision of axilla"
"fma321761","Greater trochanteric region of hip"
"fma321830","Lateral half of back"
"fma322165","Right side of head"
"fma322166","Left side of head"
"fma322181","Vertebral region of back"
"fma54393","Subdivision of face"
"fma54545","Head proper"
"fma58817","Subdivision of head proper"
"fma7155","Neck"
"fma7181","Trunk"
"fma79190","Subdivision of shoulder"
"fma323761","Crown of head"
"fma326065","Anterior region of face"
"fma326551","Posterolateral part of neck"
"fma326562","Suprasternal notch region of neck"
"fma326568","Side of face"
"fma326582","Perinasal region of lateral half of face"
"fma326597","Eyebrow region"
"fma326752","Quadrant of buttock"
"fma329023","Subdivision of front of trunk"
"fma329052","Nasomaxillary part of face"
"fma329134","Pectoral girdle region"
"fma10427","Body wall"
"fma228775","Waist"
"fma229128","Subdivision of back of neck"
"fma24189","Back of neck"
"fma24223","Front of neck"
"fma24876","Free upper limb region"
"fma24877","Free lower limb region"
"fma24878","Free upper limb"
"fma24879","Free lower limb"
"fma24965","Right hip"
"fma24966","Left hip"
"fma25055","Trunk proper"
"fma25056","Back"
"fma25246","Right buttock"
"fma25247","Left buttock"
"fma259054","Wall of abdominal segment of trunk"
"fma259102","Subdivision of trunk proper"
"fma259104","Subdivision of back"
"fma259209","Thoracic segment of trunk"
"fma269539","Subdivision of body wall"
"fma285406","Midface"
"fma301533","Axilla proper"
"fma312824","Superolateral region of buttock"
"fma312830","Superomedial region of buttock"
"fma312836","Inferomedial region of buttock"
"fma312842","Inferolateral region of buttock"
"fma317760","Cerebral part of head"
"fma320451","Cerebral part proper of head"
"fma320453","Auriculotemporal part of head"
"fma320466","Wall of head proper"
"fma320468","Subdivision of wall of head proper"
"fma321729","Lateral half of trunk"
"fma321733","Lateral half of face"
"fma321755","Lateral half of nose"
"fma322171","Peri-orbital region of face"
"fma322178","Supraclavicular part of neck"
"fma322179","Lateral region of trunk"
"fma322183","Axillary fold"
"fma322234","Sacro-iliac region"
"fma322235","Presacral region of pelvis"
"fma322564","Eyelid complex"
"fma323987","Extra-articular region of shoulder"
"fma33642","Right shoulder"
"fma33643","Left shoulder"
"fma35350","Acromial region of shoulder"
"fma37343","Wall of axilla"
"fma37352","Base of axilla"
"fma45302","Right axilla"
