diagnosisAbbreviation,diagnosis,DOID,MeSH
RA,rheumatoid arthritis,DOID:7148,Autoimmune Diseases
SLE,systemic lupus erythematosus,DOID:9074,Autoimmune Diseases
PsA,psoriatic arthritis,DOID:9008,Autoimmune Diseases
PsO,psoriasis,DOID:8893,Autoimmune Diseases
V,vitiligo,DOID:12306,Autoimmune Diseases
DM,dermatomyositis,DOID:10223,Autoimmune Diseases
Sc,scleroderma,DOID:419,Autoimmune Diseases
SjD,Sjogren's disease,DOID:12894,"Autoimmune Diseases, 	Sicca Syndrome"
LN,lupus nephritis,DOID:0080162,Autoimmune Diseases
CLE,cutaneous lupus erythematosus,DOID:0050169,Autoimmune Diseases
Ctrl,control,,
