"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"Clinical Metadata Template","A template outlining clinical metadata to collect for study subjects.","","Component, program, project, species, individualID, diagnosis, age, ageUnits, sex, race, ethnicity, height, heightUnits, weight, weightUnits, comorbidities, notes","","","","","","","","",""
"vitiligo","A valid value of `diagnosis` that triggers conditional dependencies for additional attributes.","","vitiligoPattern, VIDA, VASI, VETI","","","","","","","","",""
"diabetes","A valid value of `comorbidities` that triggers conditional dependencies for additional attributes.","","diabetesType","","","","","","","","",""
"psoriasis","A valid value of `diagnosis` that triggers conditional dependencies for additional attributes.","","PASI","","","","","","","","",""
"dermatomyositis","A valid value of `diagnosis` that triggers conditional dependencies for additional attributes.","","CDASI","","","","","","","","",""
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","",""
"AMP AIM","Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","visitID","","","","","","","","",""
"individualID","Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.","","","TRUE","","","","string","","","",""
"project","A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.","AIM for RA, ELLIPSS, LOCKIT, RA, SLE, STAMP, UMass V-CoRT, METRO","","TRUE","","","","string","","","",""
"Component","A high-level attribute for grouping attributes into templates.","","","TRUE","","","","string","","","",""
"fileFormat","Standard file format name or file extension","bai, bam, bed, bim, csv, czi, docx, dose, erate, fam, fastq, fcs, geojson, h5, h5ad, html, info, mcd, mtx, parquet, pdf, py, rds, rec, svs, tbi, tgz, tsv, txt, vcf, xls, xlsx, zip","","TRUE","","","","string","","","",""
"program","Name of the funding program that supported the generation of data and associated files","AMP AIM, AMP RA/SLE, Community Contribution","","TRUE","","","","string","","","",""
"programPhase","A label noting which AMP RA/SLE program phase generated the data.","I, II","","TRUE","","","list like error","string_list","","","",""
"resourceType","High-level classification of the file content","code, experimental data, figure, metadata","","TRUE","","","","string","","","",""
"dataType","High-level classification of the type of data contained in the file, loosely related to the experimental method or biological entity that is being profiled. Select all that apply using a comma-delimited list, though in most cases only a single label is expected. For multimodal datasets with concomitant profiling of biospecimen include 'multimodal'.","cytometry, epigenomics, genomics, histology, immune repertoire profiling, immunostaining, lipidomics, metabolomics, microbiome, multimodal, proteomics, transcriptomics","","TRUE","","","list like error","string_list","","","",""
"dataSubtype","General classification to differentiate between omics profiling modalities. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list, however this is largely only expected in the context of Datasets and files that contain integrated experimental data spanning multiple types.","bulk, none, pseudobulk, single-cell, single-nucleus, spatial","","TRUE","","","list like error","string_list","","","",""
"dataLevel","Level of data processing applied to file. Levels refer to pre-defined standards of processing for the given assay.","1, 2, 3, 4, 5, Not Applicable, unknown","","TRUE","","","","string","","","",""
"assay","The technology used to generate the data in this file. For multimodal datasets with concomitant profiling of biospecimen select all assays that apply. e.g., the GEX files from a CITE-seq experiment should be labeled with both 'scRNASeq' and 'CITESeq'.","ASAPSeq, CE-MS, CITESeq, CosMX, CyTOF, GenePS SeqFISH, H&E, LC-MS/MS, NULISA, Olink Explore HT, Olink Flex, Olink Focus, Olink Reveal, Olink Target 48, Olink Target 96, RNASeq, SNP array, SomaScan, VDJSeq, Visium, WES, WGS, Xenium, feature barcode sequencing, flow cytometry, imaging mass cytometry, imaging mass spectrometry, kiloplex, multiplexed ELISA, scRNASeq, scVDJSeq, serial IHC, snATACSeq, snRNASeq","","TRUE","","","list like error","string_list","","","",""
"10xProbeSetReference","Name of probe set used in 10x Chromium Flex, Xenium, or Visium data. If custom modified probe set was used the probe reference should be included as metadata accompanying the experimental data files.","Flex Human Transcriptome Probe Set v1.0.1, Flex Human Transcriptome Probe Set v1.1.0, Visium Human Transcriptome v1, Visium Human Transcriptome v2, custom probe set","","TRUE","","","","string","","","",""
"platform","The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment. Specify where applicable for experimental data files, else enter 'none'. In most cases only a single label is expected, however multiple selections can be provided in comma-delimited list where applicable e.g., for 10x Genomics fastq files please specify both the 10x instrument and the sequencing platform.","BD FACSAria Fusion cell sorter, BD FACSAria III, BD FACSCanto, BD FACSCanto II, BD FACSDiscover A8, BD FACSDiscover S8, BD FACSLyric Clinical, BD FACSMelody, BD FACSymphony S6, BD LSRFortessa, CyTOF XT, Cytek Aurora, Cytek Aurora Evo, Fluidigm BioMark, Helios Mass Cytometer, Hyperion, Illumina HiSeq 2500, Illumina HiSeq X Ten, Illumina NextSeq 500, Illumina NovaSeq 6000, Illumina NovaSeq X, Not Applicable, Olink Signature Q100, Sony MA900, Thermo Fisher Attune CytPix, Thermo Fisher Attune NxT, Thermo Fisher Attune Xenith, Visium CytAssist, Xenium, none, unknown","","TRUE","","","","string","","","",""
"specimenModality","Label assigned to experimental data files indicating whether the data contained corresponds to a single or multiple biospecimens","multispecimen, single specimen, unknown","","TRUE","","","","string","","","",""
"biospecimenID","A unique identifier assigned to specimens collected from study participants. For multi-specimen data files provide all IDs in a comma-separated list.","","","TRUE","","","#BiospecimenMetadataTemplate unique error^^list like error","string_list","","","",""
"parentBiospecimenID","The biospecimenID associated with the originating biospecimen for derived or child biospecimens.","","","FALSE","","","","string","","","",""
"biospecimenType","A label indicating the biological material collected for experimentation and data collection. Where applicable, provide all types in a comma-separated list.","PBMCs, cell line, kidney biopsy, none, plasma, primary cell culture, saliva, salivary gland, serum, skin biopsy, skin swab, stool, suction blister cells, suction blister fluid, synovial fluid, synovial tissue, total leukocytes, urine, uvea, whole blood","","TRUE","","","#BiospecimenMetadataTemplate str^^#InVitroBiospecimenMetadataTemplate^^list like error","string_list","","","",""
"primaryCellSource","A label indicating the biological source material from which a primary cell culture was derived.","PBMCs, kidney, pannus-derived dermis, pannus-derived epidermis, salivary gland, synovial tissue, total leukocytes, urine, uvea, whole blood","","TRUE","","","","string","","","",""
"metadataType","A label further classifying the content of metadata resource.","alignment metrics, assay, biospecimen, cell coordinates, clinical, data dictionary, demographics, file manifest, medication, other, phenotype, protocol, single-cell metadata, target panel, template, tissue microarray map, tissue multiarray map, user manual","","TRUE","","","","string","","","",""
"codingLanguage","The coding, aka programming, language(s) contained in the file marked with `resourceType = code`. Select all that apply.","C, C#, C++, Fortan, Java, Julia, Matlab, Python, R, Ruby, SAS","","TRUE","","","","string","","","",""
"visitID","Ordinal ID distinguishing different patient visits.","","","TRUE","","","","string","","","",""
"softwareAndVersion","Relevant software and version used to generate the data file.","BD FACSDiva 8.0.1, Cell Ranger 9.0.1, Cell Ranger ATAC v1.1.0, Cell Ranger v3.0.0, Cell Ranger v3.0.1, Cell Ranger v3.0.2, Cell Ranger v3.1.0, Cell Ranger v4.0.0, Cell Ranger v5.0.0, Cell Ranger v5.0.1, Cell Ranger v6.0.0, Cell Ranger v6.0.1, Cell Ranger v6.0.2, Cell Ranger v6.1.0, Cell Ranger v6.1.1, Cell Ranger v6.1.2, Cell Ranger v7.0.0, Cell Ranger v7.0.1, Cell Ranger v7.1.0, Cell Ranger v7.2.0, Cell Ranger v8.0.0, Cell Ranger v8.0.1, Cell Ranger v9.0.0, Space Ranger 3.0.0, Space Ranger 3.0.1, Space Ranger 3.1.0, Space Ranger 3.1.1, Space Ranger 3.1.2, Space Ranger 3.1.3, demuxlet","","FALSE","","","","string","","","",""
"targetPanel","A unique or established human-readable name assigned to the panel of targets profiled in the experiment. For example, the panel of antibodies and corresponding fluorophores used in a flow cytometry experiment or panel used in a Xenium spatial transcriptomics experiment.","","","TRUE","","","","string","","","",""
"targetPanelSize","The number of gene, transcript, protein, etc., targets profiled in the assay for assays that use a pre-defined set of probes, antibodies, etc., to measure biological components in samples. The input value is expected to be a whole integer that matches the number of targets described in the accompanying target panel metadata (i.e., targetPanelSynID).","","","FALSE","","","int error","integer","","","",""
"nucleicAcidSource","The source of the nucleic acid used as input for sequencing library fragments.","BCR mRNA, CRISPR protospacer feature barcode, TCR mRNA, Tn5-accessible gDNA, antigen capture barcode, gDNA, globin-depleted RNA, intracellular protein feature barcode, multiplexing oligo, poly(A) RNA, rRNA-depleted RNA, surface protein feature barcode","","TRUE","","","","string","","","",""
