Attribute,Description,Valid Values,DependsOn,Required,Parent,Source,Validation Rules,columnType,Format,Minimum,Maximum,Pattern
FCS File Annotation Template,A template outlining metadata to be collected and applied to FCS file entities as annotations in Synapse.,,"Component, fileFormat, specimenModality, assay, eventCount",,,,,,,,,
BDM FCS File Annotations,A template outlining metadata to be collected and applied to FCS file entities as annotations in Synapse by BDM team as part of data release process.,,"Component, fileFormat, resourceType, assay, specimenModality, eventCount, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, platform, sampleProcessingBatch, dataCollectionBatch, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
CyTOF Assay Metadata Template,A template outlining assay-related metadata for a cytometry time-of-flight (CyTOF) dataset. Each row corresponds to a biospecimen profiled in the experiment.,,"Component, assay, biospecimenID, sampleProcessingBatch, dataCollectionBatch, platform, softwareAndVersion, targetPanel, targetPanelSynID, targetPanelSize",,,,,,,,,
multispecimen,Is a valid value of `specimenModality` that triggers conditional dependencies for additional attributes.,,"sampleProcessingBatch, dataCollectionBatch",,,,,,,,,
single specimen,Is a valid value of `specimenModality` that triggers conditional dependencies for additional attributes.,,"biospecimenID, individualID",,,,,,,,,
resourceType,,experimental data,,TRUE,,,,string,,,,
fileFormat,,fcs,,,,,,string,,,,
assay,The technology used to generate the data in this file.,"CyTOF, flow cytometry",,TRUE,,,,string,,,,
platform,"The specific version (manufacturer, model, etc.) of a technology that is used to carry out a laboratory or computational experiment.","Cytek Aurora, Cytek Aurora Evo, BD FACSDiscover S8, BD FACSymphony S6, BD FACSMelody, BD FACSAria III, BD FACSCanto, BD FACSLyric Clinical, BD FACSCanto II, BD FACSDiscover A8, Thermo Fisher Attune Xenith, Thermo Fisher Attune CytPix, Thermo Fisher Attune NxT, Sony MA900, BD LSRFortessa, unknown",,TRUE,,,,string,,,,
AMP RA/SLE,Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
AMP AIM,Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
