Attribute,Description,Valid Values,DependsOn,Required,Parent,Source,Validation Rules,columnType,Format,Minimum,Maximum,Pattern
single specimen,Is a valid value of `specimenModality` that triggers conditional dependencies for additional attributes.,,"biospecimenID, individualID",,,,,,,,,
resourceType,,"experimental data, metadata",,TRUE,,,list like error,string_list,,,,
fileFormat,Standard file format name or file extension,"csv, tsv, txt, xlsx, xls, fam, bim, bed, bam, h5, mtx, bai, rds, tgz, zip, h5ad, html",,TRUE,,,,string,,,,
feature barcode sequencing,Is a valid value of `assay` that triggers conditional dependencies for additional attributes.,,"targetPanel, targetPanelSynID, targetPanelSize",,,,,,,,,
rds,Is a valid value of 'fileFormat' that triggers conditional dependencies for additional attributes.,,RObjectClass,,,,,,,,,
experimental data,Is a valid value of 'resourceType' that triggers conditional dependencies for additional attributes.,,processedDataType,,,,,,,,,
metadata,"Any file that contains curated data describing an experiment and experimental-derived data, including metadata about study subjects, biospecimens, protocols, assay reagents, marker panels, and ID mappings. Is a valid value of Resource Type that triggers conditional dependencies for additional attributes.",,metadataType,FALSE,,,,,,,,
metadataType,,single-cell metadata,,TRUE,,,,string,,,,
scRNASeq Processed Data Annotation Template,"A data contributor template outlining metadata to be collected as file annotations for scRNA-seq processed data files (i.e., anything not a fastq file).",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput",,,,,,,,,
BDM scRNASeq Processed Data Annotations,"A template outlining metadata to be collected as file annotations for scRNA-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
snRNASeq Processed Data Annotation Template,"A data contributor template outlining metadata to be collected as file annotations for snRNA-seq processed data files (i.e., anything not a fastq file).",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput",,,,,,,,,
BDM snRNASeq Processed Data Annotations,"A template outlining metadata to be collected as file annotations for snRNA-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
snATACSeq Processed Data Annotation Template,"A data contributor template outlining metadata to be collected as file annotations for snATAC-seq processed data files (i.e., anything not a fastq file).",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput",,,,,,,,,
BDM snATACSeq Processed Data Annotations,"A template outlining metadata to be collected as file annotations for snATAC-seq processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, cellRangerOutput, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
scVDJSeq Processed Data Annotation Template,"A data contributor template outlining metadata to be collected as file annotations for scVDJ-seq (i.e., immune repertoire profiling) processed data files (i.e., anything not a fastq file).",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality",,,,,,,,,
BDM scVDJSeq Processed Data Annotations,"A template outlining metadata to be collected as file annotations for scVDJ-seq (i.e., immune repertoire profiling) processed data files (i.e., anything not a fastq file). to be compiled by ARK BDM.",,"Component, fileFormat, assay, resourceType, dataLevel, specimenModality, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, diagnosis, visitID, libraryPrepMethod, nucleicAcidSource, alignmentReference, softwareAndVersion, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
AMP RA/SLE,Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
AMP AIM,Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,,,,,,,,,
