Attribute,Description,Valid Values,DependsOn,Required,Parent,Source,Validation Rules,columnType,Format,Minimum,Maximum,Pattern
Spatial Imaging File Annotation Template,A data contributor template outlining metadata to be collected as file annotations for imaging-based data files.,,"Component, slideID, fileFormat, assay, resourceType, specimenModality, dataLevel",,,,,,,,,
BDM Spatial Imaging File Annotations,A template outlining as file annotations for imaging-based data files to be compiled by ARK BDM.,,"Component, slideID, fileFormat, assay, resourceType, specimenModality, parentBiospecimenID, biospecimenType, biospecimenSubtype, dataType, dataSubtype, dataLevel, diagnosis, visitID, targetPanel, targetPanelSynID, targetPanelSize, program, project, species, primaryCellSource, cellType, userDefinedCellType",,,,,,,,,
resourceType,,"experimental data, metadata",,TRUE,,,list like error,string_list,,,,
assay,,"Xenium, CosMX, GenePS SeqFISH, imaging mass cytometry, Visium, H&E, serial IHC",,TRUE,,,,string,,,,
rds,Is a valid value of 'fileFormat' that triggers conditional dependencies for additional attributes.,,RObjectClass,FALSE,,,,,,,,
experimental data,Is a valid value of 'resourceType' that triggers conditional dependencies for additional attributes.,,processedDataType,FALSE,,,,,,,,
metadata,"Is a valid value of Resource Type that triggers conditional dependencies for additional attributes. Any file that contains curated data describing an experiment and experimental-derived data, including metadata about study subjects, biospecimens, protocols, assay reagents, marker panels, and ID mappings",,metadataType,FALSE,,,,,,,,
metadataType,,"single-cell metadata, cell coordinates, target panel, tissue microarray map, other",,TRUE,,,,string,,,,
AMP RA/SLE,Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,FALSE,,,,,,,,
AMP AIM,Accelerating Medicines Partnership Autoimmune and Immune-Mediated Diseases. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.,,visitID,FALSE,,,,,,,,
demultiplexMethod,This attribute indicates the general method that needs to be used to demultiplex multispecimen raw data.,"genotypic demux, hashtag oligos, sample barcode, slide array map",,TRUE,,,,string,,,,
