TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd_info_source,REM Sleep Behavior Disorder Questionnaire (RBD),RBD Source Of Information,FALSE,Integer,0 - 3,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd01_vivid_dreams,REM Sleep Behavior Disorder Questionnaire (RBD),RBD 01. Vivid Dreams,FALSE,Integer,0 - 1,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd02_aggressive_or_action_packed_dreams,REM Sleep Behavior Disorder Questionnaire (RBD),RBD 02. Aggressive Or Action-Packed Dreams,FALSE,Integer,0 - 1,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd03_nocturnal_behaviour,REM Sleep Behavior Disorder Questionnaire (RBD),RBD 03. Nocturnal Behaviour,FALSE,Integer,0 - 1,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd04_move_arms_legs_during_sleep,REM Sleep Behavior Disorder Questionnaire (RBD),RBD 04. Move Arms and Legs During Sleep,FALSE,Integer,0 - 1,
REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster.csv,code_rbd05_hurt_bed_partner,REM Sleep Behavior Disorder Questionnaire (RBD),RBD 05. Hurt Bed Partner,FALSE,Integer,0 - 1,
