TableName,ColumnName,Title,Description,Required,DataType,DataTypeRange,UniqueValues
UPDRS.csv,participant_id,Study Subject ID,Study Subject ID,TRUE,String,,
UPDRS.csv,GUID,Subject ID,Global Unique ID (USUBJID),FALSE,String,,
UPDRS.csv,visit_name,Visit Name,"Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit",TRUE,String,,
UPDRS.csv,visit_month,Visit Month,"Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits",FALSE,Float,,
UPDRS.csv,upd101_intellect_impairment,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Mentation, Behavior and Mood: Intellectual Impairment (UPD101)",FALSE,Float,0 - 4,
UPDRS.csv,upd102_thought_disorder,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Mentation, Behavior and Mood: Thought Disorder (UPD102)",FALSE,Float,0 - 4,
UPDRS.csv,upd103_depression,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Mentation, Behavior and Mood: Depression (UPD103)",FALSE,Float,0 - 4,
UPDRS.csv,upd104_motivation,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Mentation, Behavior and Mood: Motivation/Initiative (UPD104)",FALSE,Float,0 - 4,
UPDRS.csv,updrs1_ment_behav_mood_score,Unified Parkinson's Disease Rating Scale (UPDRS),"UPDRS - Mentation, Behavior and Mood Sub-total (UPD145)",FALSE,Float,0 - 16,
UPDRS.csv,upd105_speech,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Speech (UPD105),FALSE,Float,0 - 4,
UPDRS.csv,upd106_salivation,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Salivation (UPD106),FALSE,Float,0 - 4,
UPDRS.csv,upd107_swallowing,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Swallowing (UPD107),FALSE,Float,0 - 4,
UPDRS.csv,upd108_handwriting,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Handwriting (UPD108),FALSE,Float,0 - 4,
UPDRS.csv,upd109_cutting_food,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Cutting Food and Handling Utensils (UPD109),FALSE,Float,0 - 4,
UPDRS.csv,upd110_dressing,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Dressing (UPD110),FALSE,Float,0 - 4,
UPDRS.csv,upd111_hygiene,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Hygiene (UPD111),FALSE,Float,0 - 4,
UPDRS.csv,upd112_turning_in_bed,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Turning in Bed and Adjusting Bed Clothes (UPD112),FALSE,Float,0 - 4,
UPDRS.csv,upd113_falling,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Falling (UPD113),FALSE,Float,0 - 4,
UPDRS.csv,upd114_freezing_walking,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Freezing When Walking (UPD114),FALSE,Float,0 - 4,
UPDRS.csv,upd115_walking,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Walking (UPD115),FALSE,Float,0 - 4,
UPDRS.csv,upd116_tremor,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Tremor (UPD116),FALSE,Float,0 - 4,
UPDRS.csv,upd117_sensory_complaints,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living: Sensory Complaints Related to Parkinsonism (UPD117),FALSE,Float,0 - 4,
UPDRS.csv,updrs2_adl_score,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Activities of Daily Living Sub-total (UPD146),FALSE,Float,0 - 52,
UPDRS.csv,upd118_speech,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Speech (UPD118),FALSE,Float,0 - 4,
UPDRS.csv,upd119_facial_expression,Unified Parkinson's Disease Rating Scale (UPDRS),UPDRS - Motor Examination: Facial Expression (UPD119),FALSE,Float,0 - 4,
