cde_id	source	source_file	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	amp_units	parked
1	AMP-AD	DiverseCohortsOutcomes.pdf; DiverseCohorts_DataDictionary.pdf	ADoutcome	"Alzheimer's Disease clinical outcome or disease progression status post-mortem. Used to classify participants into ""control"", ""AD"", ""Other"""	"AD: Braak ≥ 4, CERAD = Frequent or Moderate,  ""Control: Braak ≤ 3, CERAD = Sparse or None"" | ""Other: all other"""	Derived harmonized outcomes based on CERAD neuritic plaque score and Braak stage, or NINCDS-ADRD criteria for Mayo. The following criteria seek to harmonize outcomes between cohorts as closely as possible, with Mayo’s neuropath-based diagnoses (as determined by Mayo specialists) set as the standard to match. These thresholds will also exclude individuals with age-related tauopathies from being classified as AD cases or controls. sh, MSSM, Columbia derived outcome criteria: AD: Braak ≥ 4, CERAD = Frequent or Moderate Control: Braak ≤ 3, CERAD = Sparse or None Other: all other UFL (from Mayo): some patients from UFL were not consistent with other MayoDx criteria (i.e. 8 individuals had Braak < 4 and a mayoDx==AD). These individuals were assigned ‘Other’ criteria in the ADoutcome variable to harmonize more closely with MayoDx criteria.		false
3	AMP-AD	ROSMAP_clinical_codebook.pdf	age_at_visit	Age of participant at time of clinical visit	Continuous	RADC data set 754 (ROSMAP). Age at visit (longitudinal). Calculated by subtracting the date of birth from the date of the visit and dividing the difference by days per year (365.25). The date of the visit is defined as the first valid date in the following hierarchy: (1) cognitive date; (2) clinical evaluation date (neurological exam, med hx, meds); (3) interview date; (4) DCF date (diagnostic classification form); (5) neuropsychologist impression date.	years	false
5	AMP-AD	ROSMAP_clinical_codebook.pdf	age_death	Age at Death	Continuous	RADC data set 754 (ROSMAP). Age at death. Calculated by subtracting date of birth from date of death and dividing the difference by days per year (365.25). For participants in autopsy cohorts, the exact date of death is known for most participants as it is the day an autopsy was performed. In all cohorts, in addition to annual evaluations, participants are also contacted quarterly to determine vital status and changes in health, and death is occasionally learned of during quarterly contacts.	years	false
6	AMP-AD	ROSMAP_clinical_codebook.pdf	age_first_ad_dx	Age at First Alzheimer's Dementia Diagnosis	Continuous	RADC data set 754 (ROSMAP). Age at cycle where first Alzheimer's dementia diagnosis was given. Represents the age at the first cycle where an Alzheimer's dementia diagnosis was rendered. Calculated using the variables 'age at visit' and 'clinical diagnosis summary' (dcfdx value = 4 or 5). This is the best approximation of 'age at onset of Alzheimer's dementia' available, as most participants are seen on a yearly basis. Not available for participants that were demented at baseline cycle.	years	false
8	AMP-AD	DiverseCohorts_DataDictionary.pdf	amyA	Indicator of Thal Phase, grouped	None; Thal Phase 1 or 2; Thal Phase 3; Thal Phase 4 or 5; Missing or unknown			false
9	AMP-AD	DiverseCohorts_DataDictionary.pdf	amyAny	Presence of any amyloid pathology	0 = amyCerad = None/No AD/C0; 1 = amyCerad = Sparse/Possible/C1 or Moderate/Probable/C2 or Frequent/Definite/C3; Missing or unknown			false
10	AMP-AD	DiverseCohorts_DataDictionary.pdf	amyCerad	CERAD neuritic plaque score based on amyloid assessment	None/No AD/C0; Sparse/Possible/C1; Moderate/Probable/C2; Frequent/Definite/C3; Missing or unknown			false
11	AMP-AD	DiverseCohorts_DataDictionary.pdf	amyThal	Amyloid Thal phase score	None; Phase 1; Phase 2; Phase 3; Phase 4; Phase 5; missing or unknown			false
12	AMP-AD	ROSMAP_clinical_codebook.pdf	apoe_genotype	APOE Genotype	"{""22"": ""E2E2"", ""23"": ""E2E3"", ""24"": ""E2E4"", ""33"": ""E3E3"", ""34"": ""E3E4"", ""44"": ""E4E4""}"	RADC data set 754 (ROSMAP). ApoE genotype (Apolipoprotein E genotype). DNA was extracted from PBMCs or brain. Genotyping was performed by Agencourt Bioscience Corporation utilizing high-throughput sequencing of codon 112 (position 3937) and codon 158 (position 4075) of exon 4 of the APOE gene on chromosome 19. Participants were genotyped for APOE alleles by Polymorphic DNA Technologies as part of a collaboration with Allan Roses and Zinfandel. Value coding: 22=E2E2; 23=E2E3; 24=E2E4; 33=E3E3; 34=E3E4; 44=E4E4.		false
13	AMP-AD	DiverseCohorts_DataDictionary.pdf	Braak	Braak stage for neurofibrillary tangle pathology	None; Stage I; Stage II; Stage III; Stage IV; Stage V; Stave VI; Missing or unknown	"TYPO IN THE AMP DICTIONARY: the 7th stage is written ""Stave VI"", not ""Stage VI"" (DiverseCohorts_DataDictionary.pdf, confirmed in the PDF text itself). UNRESOLVED: we do not know whether the typo is confined to the dictionary or is also the literal string in the AMP data files. The synthetic data reproduces it verbatim so that an ETL built against the real files does not break on it. Verify against a real AMP-AD extract, then decide whether to normalise. Noted 2026-07-13."		false
