cde_id	amp_variable	sb_source	table_schema_field	example_source_value	spec_origin	spec_status	schema_error	sb_value_set
1	ADoutcome	AMP-AD	"{""name"":""ADoutcome"",""type"":""string"",""constraints"":{""enum"":[""AD"",""Control"",""Other""]},""categories"":[{""value"":""AD"",""label"":""AD""},{""value"":""Control"",""label"":""Control""},{""value"":""Other"",""label"":""Other""}]}"	AD	AMP:ad/DiverseCohortsOutcomes.pdf	amp_sourced		"AD: Braak ≥ 4, CERAD = Frequent or Moderate,  ""Control: Braak ≤ 3, CERAD = Sparse or None"" | ""Other: all other"""
3	age_at_visit	AMP-AD	"{""name"":""age_at_visit"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
5	age_death	AMP-AD	"{""name"":""age_death"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
6	age_first_ad_dx	AMP-AD	"{""name"":""age_first_ad_dx"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
8	amyA	AMP-AD	"{""name"":""amyA"",""type"":""string"",""constraints"":{""enum"":[""None"",""Thal Phase 1 or 2"",""Thal Phase 3"",""Thal Phase 4 or 5"",""Missing or unknown""]},""categories"":[{""value"":""None"",""label"":""None""},{""value"":""Thal Phase 1 or 2"",""label"":""Thal Phase 1 or 2""},{""value"":""Thal Phase 3"",""label"":""Thal Phase 3""},{""value"":""Thal Phase 4 or 5"",""label"":""Thal Phase 4 or 5""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	None	SB:amp_value_set	sb_fallback		None; Thal Phase 1 or 2; Thal Phase 3; Thal Phase 4 or 5; Missing or unknown
9	amyAny	AMP-AD	"{""name"":""amyAny"",""type"":""string"",""constraints"":{""enum"":[""0"",""1"",""Missing or unknown""]},""categories"":[{""value"":""0"",""label"":""amyCerad = None/No AD/C0""},{""value"":""1"",""label"":""amyCerad = Sparse/Possible/C1 or Moderate/Probable/C2 or Frequent/Definite/C3""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	0	AMP:ad/DiverseCohorts_parsed_dictionary.tsv	amp_sourced		0 = amyCerad = None/No AD/C0; 1 = amyCerad = Sparse/Possible/C1 or Moderate/Probable/C2 or Frequent/Definite/C3; Missing or unknown
10	amyCerad	AMP-AD	"{""name"":""amyCerad"",""type"":""string"",""constraints"":{""enum"":[""None/No AD/C0"",""Sparse/Possible/C1"",""Moderate/Probable/C2"",""Frequent/Definite/C3"",""Missing or unknown""]},""categories"":[{""value"":""None/No AD/C0"",""label"":""None/No AD/C0""},{""value"":""Sparse/Possible/C1"",""label"":""Sparse/Possible/C1""},{""value"":""Moderate/Probable/C2"",""label"":""Moderate/Probable/C2""},{""value"":""Frequent/Definite/C3"",""label"":""Frequent/Definite/C3""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	None/No AD/C0	SB:amp_value_set	sb_fallback		None/No AD/C0; Sparse/Possible/C1; Moderate/Probable/C2; Frequent/Definite/C3; Missing or unknown
11	amyThal	AMP-AD	"{""name"":""amyThal"",""type"":""string"",""constraints"":{""enum"":[""None"",""Phase 1"",""Phase 2"",""Phase 3"",""Phase 4"",""Phase 5"",""missing or unknown""]},""categories"":[{""value"":""None"",""label"":""None""},{""value"":""Phase 1"",""label"":""Phase 1""},{""value"":""Phase 2"",""label"":""Phase 2""},{""value"":""Phase 3"",""label"":""Phase 3""},{""value"":""Phase 4"",""label"":""Phase 4""},{""value"":""Phase 5"",""label"":""Phase 5""},{""value"":""missing or unknown"",""label"":""missing or unknown""}]}"	None	SB:amp_value_set	sb_fallback		None; Phase 1; Phase 2; Phase 3; Phase 4; Phase 5; missing or unknown
12	apoe_genotype	AMP-AD	"{""name"":""apoe_genotype"",""type"":""integer"",""constraints"":{""enum"":[22,23,24,33,34,44]},""categories"":[{""value"":22,""label"":""E2E2""},{""value"":23,""label"":""E2E3""},{""value"":24,""label"":""E2E4""},{""value"":33,""label"":""E3E3""},{""value"":34,""label"":""E3E4""},{""value"":44,""label"":""E4E4""}]}"	22	SB:amp_value_set	sb_fallback		"{""22"": ""E2E2"", ""23"": ""E2E3"", ""24"": ""E2E4"", ""33"": ""E3E3"", ""34"": ""E3E4"", ""44"": ""E4E4""}"
13	Braak	AMP-AD	"{""name"":""Braak"",""type"":""string"",""constraints"":{""enum"":[""None"",""Stage I"",""Stage II"",""Stage III"",""Stage IV"",""Stage V"",""Stave VI"",""Missing or unknown""]},""categories"":[{""value"":""None"",""label"":""None""},{""value"":""Stage I"",""label"":""Stage I""},{""value"":""Stage II"",""label"":""Stage II""},{""value"":""Stage III"",""label"":""Stage III""},{""value"":""Stage IV"",""label"":""Stage IV""},{""value"":""Stage V"",""label"":""Stage V""},{""value"":""Stave VI"",""label"":""Stave VI""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	None	SB:amp_value_set	sb_fallback		None; Stage I; Stage II; Stage III; Stage IV; Stage V; Stave VI; Missing or unknown
14	braaksc	AMP-AD	"{""name"":""braaksc"",""type"":""integer"",""constraints"":{""enum"":[0,1,2,3,4,5,6]},""categories"":[{""value"":0,""label"":""0""},{""value"":1,""label"":""I""},{""value"":2,""label"":""II""},{""value"":3,""label"":""III""},{""value"":4,""label"":""IV""},{""value"":5,""label"":""V""},{""value"":6,""label"":""VI""}]}"	0	SB:amp_value_set	sb_fallback		"{""0"": ""0"", ""1"": ""I"", ""2"": ""II"", ""3"": ""III"", ""4"": ""IV"", ""5"": ""V"", ""6"": ""VI""}"
15	BrodmannArea	AMP-AD	"{""name"":""BrodmannArea"",""type"":""string"",""constraints"":{""enum"":[""BA1"",""BA2"",""BA3"",""BA4"",""BA5"",""BA6"",""BA7"",""BA8"",""BA9"",""BA10"",""BA11"",""BA17"",""BA18"",""BA19"",""BA20"",""BA21"",""BA22"",""BA24"",""BA39"",""BA40"",""BA41"",""BA42"",""BA44"",""BA45"",""BA46"",""BA47""]},""categories"":[{""value"":""BA1"",""label"":""BA1""},{""value"":""BA2"",""label"":""BA2""},{""value"":""BA3"",""label"":""BA3""},{""value"":""BA4"",""label"":""BA4""},{""value"":""BA5"",""label"":""BA5""},{""value"":""BA6"",""label"":""BA6""},{""value"":""BA7"",""label"":""BA7""},{""value"":""BA8"",""label"":""BA8""},{""value"":""BA9"",""label"":""BA9""},{""value"":""BA10"",""label"":""BA10""},{""value"":""BA11"",""label"":""BA11""},{""value"":""BA17"",""label"":""BA17""},{""value"":""BA18"",""label"":""BA18""},{""value"":""BA19"",""label"":""BA19""},{""value"":""BA20"",""label"":""BA20""},{""value"":""BA21"",""label"":""BA21""},{""value"":""BA22"",""label"":""BA22""},{""value"":""BA24"",""label"":""BA24""},{""value"":""BA39"",""label"":""BA39""},{""value"":""BA40"",""label"":""BA40""},{""value"":""BA41"",""label"":""BA41""},{""value"":""BA42"",""label"":""BA42""},{""value"":""BA44"",""label"":""BA44""},{""value"":""BA45"",""label"":""BA45""},{""value"":""BA46"",""label"":""BA46""},{""value"":""BA47"",""label"":""BA47""}]}"	BA1	SB:amp_value_set	sb_fallback		BA1 | BA2 | BA3 | BA4 | BA5 | BA6 | BA7 | BA8 | BA9 | BA10 | BA11 | BA17 | BA18 | BA19 | BA20 | BA21 | BA22 | BA24 | BA39 | BA40 | BA41 | BA42 | BA44 | BA45 | BA46 | BA47
16	bScore	AMP-AD	"{""name"":""bScore"",""type"":""string"",""constraints"":{""enum"":[""None"",""Braak Stage I-II"",""Braak Stage III-IV"",""Braak Stage V-VI"",""Missing or unknown""]},""categories"":[{""value"":""None"",""label"":""None""},{""value"":""Braak Stage I-II"",""label"":""Braak Stage I-II""},{""value"":""Braak Stage III-IV"",""label"":""Braak Stage III-IV""},{""value"":""Braak Stage V-VI"",""label"":""Braak Stage V-VI""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	None	SB:amp_value_set	sb_fallback		None; Braak Stage I-II; Braak Stage III-IV; Braak Stage V-VI; Missing or unknown
17	ceradsc	AMP-AD	"{""name"":""ceradsc"",""type"":""integer"",""constraints"":{""enum"":[1,2,3,4]},""categories"":[{""value"":1,""label"":""Definite AD""},{""value"":2,""label"":""Probable AD""},{""value"":3,""label"":""Possible AD""},{""value"":4,""label"":""No AD""}]}"	1	SB:amp_value_set	sb_fallback		1=Definite AD | 2=Probable AD | 3=Possible AD | 4=No AD
19	cogdx	AMP-AD	"{""name"":""cogdx"",""type"":""integer"",""constraints"":{""enum"":[1,2,3,4,5,6]},""categories"":[{""value"":1,""label"":""NCI: No cognitive impairment (No impaired domains)""},{""value"":2,""label"":""MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI""},{""value"":3,""label"":""MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI""},{""value"":4,""label"":""AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD)""},{""value"":5,""label"":""AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD)""},{""value"":6,""label"":""Other dementia: Other primary cause of dementia""}]}"	1	SB:amp_value_set	sb_fallback		1=NCI: No cognitive impairment (No impaired domains); 2=MCI: Mild cognitive impairment (One impaired domain) and NO other cause of CI; 3=MCI: Mild cognitive impairment (One impaired domain) AND another cause of CI; 4=AD: Alzheimer's dementia and NO other cause of CI (NINCDS PROB AD); 5=AD: Alzheimer's dementia AND another cause of CI (NINCDS POSS AD); 6=Other dementia: Other primary cause of dementia
20	cohort	AMP-AD	"{""name"":""cohort"",""type"":""string"",""constraints"":{""enum"":[""AA"",""Banner"",""Biggs Institute Brain Bank"",""CLINCOR"",""Emory"",""LATC"",""MAP"",""MARS"",""Mayo Clinic"",""Mt Sinai Brain Bank"",""NY Brain Bank"",""UPenn"",""ROS"",""UFL""]},""categories"":[{""value"":""AA"",""label"":""AA""},{""value"":""Banner"",""label"":""Banner""},{""value"":""Biggs Institute Brain Bank"",""label"":""Biggs Institute Brain Bank""},{""value"":""CLINCOR"",""label"":""CLINCOR""},{""value"":""Emory"",""label"":""Emory""},{""value"":""LATC"",""label"":""LATC""},{""value"":""MAP"",""label"":""MAP""},{""value"":""MARS"",""label"":""MARS""},{""value"":""Mayo Clinic"",""label"":""Mayo Clinic""},{""value"":""Mt Sinai Brain Bank"",""label"":""Mt Sinai Brain Bank""},{""value"":""NY Brain Bank"",""label"":""NY Brain Bank""},{""value"":""UPenn"",""label"":""UPenn""},{""value"":""ROS"",""label"":""ROS""},{""value"":""UFL"",""label"":""UFL""}]}"	AA	SB:amp_value_set	sb_fallback		AA; Banner; Biggs Institute Brain Bank; CLINCOR; Emory; LATC; MAP; MARS; Mayo Clinic; Mt Sinai Brain Bank; NY Brain Bank; UPenn; ROS; UFL
24	dcfdx	AMP-AD	"{""name"":""dcfdx"",""type"":""integer"",""constraints"":{""enum"":[1,2,3,4,5,6]},""categories"":[{""value"":1,""label"":""NCI: No cognitive impairment""},{""value"":2,""label"":""MCI: Mild cognitive impairment, no other condition contributing to CI""},{""value"":3,""label"":""MCI+: Mild cognitive impairment AND another condition contributing to CI""},{""value"":4,""label"":""AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD)""},{""value"":5,""label"":""AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD)""},{""value"":6,""label"":""Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia""}]}"	1	SB:amp_value_set	sb_fallback		1=NCI: No cognitive impairment | 2=MCI: Mild cognitive impairment, no other condition contributing to CI | 3=MCI+: Mild cognitive impairment AND another condition contributing to CI | 4=AD: Alzheimer's dementia, no other condition contributing to CI (NINCDS/ADRDA Probable AD) | 5=AD+: Alzheimer's dementia AND other condition contributing to CI (NINCDS/ADRDA Possible AD) | 6=Other dementia: Other primary cause of dementia, no clinical evidence of Alzheimer's dementia
27	diagnosis	AMP-AD	"{""name"":""diagnosis"",""type"":""string""}"	diagnosis_0001	AMP:pdrd/PD_Medical_History_dictionary.csv	amp_sourced		
28	educ	AMP-AD	"{""name"":""educ"",""type"":""integer"",""constraints"":{""minimum"":0,""maximum"":30}}"	15	SB:amp_value_set	sb_fallback		Range: 0-30
29	ethnicity	AMP-AD	"{""name"":""ethnicity"",""type"":""string"",""constraints"":{""enum"":[""Not Hispanic or Latino"",""Hispanic or Latino"",""Unknown""]},""categories"":[{""value"":""Not Hispanic or Latino"",""label"":""Not Hispanic or Latino""},{""value"":""Hispanic or Latino"",""label"":""Hispanic or Latino""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Not Hispanic or Latino	SB:amp_value_set	sb_fallback		Not Hispanic or Latino | Hispanic or Latino | Unknown
33	GUID	AMP-AD	"{""name"":""GUID"",""type"":""string""}"	GUID_0001	AMP:pdrd/Caffeine_history_dictionary.csv	amp_sourced		
34	individualID	AMP-AD	"{""name"":""individualID"",""type"":""string""}"	individualID_0001	SB:amp_value_set	sb_fallback		Identifier
35	isHispanic	AMP-AD	"{""name"":""isHispanic"",""type"":""string"",""constraints"":{""enum"":[""True"",""False"",""Missing or unknown""]},""categories"":[{""value"":""True"",""label"":""True""},{""value"":""False"",""label"":""False""},{""value"":""Missing or unknown"",""label"":""Missing or unknown""}]}"	True	SB:amp_value_set	sb_fallback		True; False; Missing or unknown
37	mayoDx	AMP-AD	"{""name"":""mayoDx"",""type"":""string"",""constraints"":{""enum"":[""AD"",""Control"",""other"",""not applicable""]},""categories"":[{""value"":""AD"",""label"":""AD""},{""value"":""Control"",""label"":""Control""},{""value"":""other"",""label"":""other""},{""value"":""not applicable"",""label"":""not applicable""}]}"	AD	AMP:ad/DiverseCohortsOutcomes.pdf	amp_sourced		Controlled vocabulary of Mayo Clinic diagnostic categories
38	msex	AMP-AD	"{""name"":""msex"",""type"":""string"",""constraints"":{""enum"":[""Male"",""Female"",""M"",""F"",""Unknown""]},""categories"":[{""value"":""Male"",""label"":""Male""},{""value"":""Female"",""label"":""Female""},{""value"":""M"",""label"":""M""},{""value"":""F"",""label"":""F""},{""value"":""Unknown"",""label"":""Unknown""}]}"	Male	SB:amp_value_set	sb_fallback		Male | Female | M | F | Unknown
40	path_braak_nft	AMP-AD	"{""name"":""path_braak_nft"",""type"":""string"",""constraints"":{""enum"":[""0"",""1"",""2"",""3"",""4"",""5"",""6"",""NA""]},""categories"":[{""value"":""0"",""label"":""0""},{""value"":""1"",""label"":""1""},{""value"":""2"",""label"":""2""},{""value"":""3"",""label"":""3""},{""value"":""4"",""label"":""4""},{""value"":""5"",""label"":""5""},{""value"":""6"",""label"":""6""},{""value"":""NA"",""label"":""NA""}]}"	0	SB:amp_value_set	sb_fallback		0 | 1 | 2 | 3 | 4 | 5 | 6 | NA
41	pmi	AMP-AD	"{""name"":""pmi"",""type"":""number""}"		SB:amp_value_set	sb_fallback		Continuous
