concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
8	Visit	Metadata	Domain	Domain		OMOP generated	1970-01-01	2099-12-31	
10	Procedure	Metadata	Domain	Domain		OMOP generated	1970-01-01	2099-12-31	
21	Measurement	Metadata	Domain	Domain		OMOP generated	1970-01-01	2099-12-31	
27	Observation	Metadata	Domain	Domain		OMOP generated	1970-01-01	2099-12-31	
36	Specimen	Metadata	Domain	Domain		OMOP generated	1970-01-01	2099-12-31	
8507	MALE	Gender	Gender	Gender	S	M	1970-01-01	2099-12-31	
8527	White	Race	Race	Race	S	5	1970-01-01	2099-12-31	
8532	FEMALE	Gender	Gender	Gender	S	F	1970-01-01	2099-12-31	
8587	milliliter	Unit	UCUM	Unit	S	mL	1970-01-01	2099-12-31	
8615	Assisted Living Facility	Visit	CMS Place of Service	Visit	S	13	1970-01-01	2099-12-31	
8809	Independent Laboratory	Visit	CMS Place of Service	Visit	S	81	1970-01-01	2099-12-31	
9202	Outpatient Visit	Visit	Visit	Visit	S	OP	1970-01-01	2099-12-31	
9401	section	Unit	UCUM	Unit	S	[sct]	1970-01-01	2099-12-31	
9448	year	Unit	UCUM	Unit	S	a	1970-01-01	2099-12-31	
9665	microliter	Unit	UCUM	Unit	S	uL	1970-01-01	2099-12-31	
32036	Laboratory Visit	Visit	Visit	Visit	S	OMOP4822461	1970-01-01	2099-12-31	
32416	Laboratory Genetics and Genomics	Provider	ABMS	Physician Specialty	S	OMOP4821995	1970-01-01	2099-12-31	
32531	Treatment Regimen	Episode	Episode	Treatment	S	OMOP4822256	1970-01-01	2099-12-31	
32533	Disease Episode	Episode	Episode	Episode of Care	S	OMOP4822254	1970-01-01	2099-12-31	
32553	Includes sub-specimen (SNOMED Vet)	Metadata	Relationship	Relationship		OMOP generated	1970-01-01	2099-12-31	
32554	Sub-specimen of (SNOMED Vet)	Metadata	Relationship	Relationship		OMOP generated	1970-01-01	2099-12-31	
32668	Measurement to Specimen	Relationship	Relationship	Relationship	S	OMOP5217056	1970-01-01	2099-12-31	
32669	Specimen to Measurement	Relationship	Relationship	Relationship	S	OMOP5217057	1970-01-01	2099-12-31	
