cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
1	AMP-AD	ADoutcome	"Alzheimer's Disease clinical outcome or disease progression status post-mortem. Used to classify participants into ""control"", ""AD"", ""Other"""	"AD: Braak ≥ 4, CERAD = Frequent or Moderate,  ""Control: Braak ≤ 3, CERAD = Sparse or None"" | ""Other: all other"""	Derived harmonized outcomes based on CERAD neuritic plaque score and Braak stage, or NINCDS-ADRD criteria for Mayo. The following criteria seek to harmonize outcomes between cohorts as closely as possible, with Mayo’s neuropath-based diagnoses (as determined by Mayo specialists) set as the standard to match. These thresholds will also exclude individuals with age-related tauopathies from being classified as AD cases or controls. sh, MSSM, Columbia derived outcome criteria: AD: Braak ≥ 4, CERAD = Frequent or Moderate Control: Braak ≤ 3, CERAD = Sparse or None Other: all other UFL (from Mayo): some patients from UFL were not consistent with other MayoDx criteria (i.e. 8 individuals had Braak < 4 and a mayoDx==AD). These individuals were assigned ‘Other’ criteria in the ADoutcome variable to harmonize more closely with MayoDx criteria.	Progression of Alzheimer's disease	Condition	Disorder			""	OMOP Extension			1340510
2	AMP-AD	age_at_diagnosis_pd	Age At Parkinson's Disease Diagnosis			About how old were you when you were first told you had Parkinson's disease?	Observation	Question	About how old were you when you were first told you had Parkinson's disease? - Adolescent (12-17) | About how old were you when you were first told you had Parkinson's disease? - Adult (18-64) | About how old were you when you were first told you had Parkinson's disease? - Child (0-11) | About how old were you when you were first told you had Parkinson's disease? - Elderly (75+) | About how old were you when you were first told you had Parkinson's disease? - Older adult (65-74)		""	PPI			43530536
3	AMP-AD	age_at_visit	Age of participant at time of clinical visit	Continuous; Range: 0-120; Unit: years	RADC data set 754 (ROSMAP). Age at visit (longitudinal). Calculated by subtracting the date of birth from the date of the visit and dividing the difference by days per year (365.25). The date of the visit is defined as the first valid date in the following hierarchy: (1) cognitive date; (2) clinical evaluation date (neurological exam, med hx, meds); (3) interview date; (4) DCF date (diagnostic classification form); (5) neuropsychologist impression date.	Age	Observation	Clinical Observation			""	LOINC		years	3022304
4	AMP-AD	age_at_visit_max	Maximum age of participant across all study visits	Non-negative numeric value in years		Current age or age at death	Observation	Clinical Observation	50-64 | 65+ | <50		""	LOINC		years	40766621
5	AMP-AD	age_death	Age at Death		RADC data set 754 (ROSMAP). Age at death. Calculated by subtracting date of birth from date of death and dividing the difference by days per year (365.25). For participants in autopsy cohorts, the exact date of death is known for most participants as it is the day an autopsy was performed. In all cohorts, in addition to annual evaluations, participants are also contacted quarterly to determine vital status and changes in health, and death is occasionally learned of during quarterly contacts.	Age at death	Observation	Clinical Observation			""	LOINC	numeric	years	3038421
6	AMP-AD	age_first_ad_dx	Age at First Alzheimer's Dementia Diagnosis	Range: 0-120; Units: years	RADC data set 754 (ROSMAP). Age at cycle where first Alzheimer's dementia diagnosis was given. Represents the age at the first cycle where an Alzheimer's dementia diagnosis was rendered. Calculated using the variables 'age at visit' and 'clinical diagnosis summary' (dcfdx value = 4 or 5). This is the best approximation of 'age at onset of Alzheimer's dementia' available, as most participants are seen on a yearly basis. Not available for participants that were demented at baseline cycle.	Alzheimer's disease | Age at diagnosis	Observation | Condition	Clinical Observation | Disorder			""	(composite)		years	378419|40766652
7	AMP-AD	ageUnits	The unit of measure used for `ageEnrollment` and `ageDiagnosis`	years | months		Age	Meas Value	Qualifier Value			""	SNOMED			4265453
8	AMP-AD	amyA	Indicator of Thal Phase, grouped	None | Thal Phase 1 or 2 | Thal Phase 3 | Thal Phase 4 or 5 | missing or unknown		Thal phase staging of amyloid plaques	Measurement	Staging / Scales			""	Nebraska Lexicon			3170911
9	AMP-AD	amyAny	Presence of any amyloid pathology	True | False		Amyloid deposition	Observation	Morph Abnormality			""	SNOMED			4288616
10	AMP-AD	amyCerad	CERAD neuritic plaque score based on amyloid assessment	Neuritic plaque density score: 0 (none), A (sparse), B (moderate), C (frequent)		CERAD scoring for presence of neuritic plaques	Measurement	Staging / Scales			""	Nebraska Lexicon			3519134
11	AMP-AD	amyThal	Amyloid Thal phase score	0-5		Thal phase staging of amyloid plaques	Measurement	Staging / Scales			""	Nebraska Lexicon			3170911
12	AMP-AD	apoe_genotype	APOE Genotype	"{""22"": ""E2E2"", ""23"": ""E2E3"", ""24"": ""E2E4"", ""33"": ""E3E3"", ""34"": ""E3E4"", ""44"": ""E4E4""}"	RADC data set 754 (ROSMAP). ApoE genotype (Apolipoprotein E genotype). DNA was extracted from PBMCs or brain. Genotyping was performed by Agencourt Bioscience Corporation utilizing high-throughput sequencing of codon 112 (position 3937) and codon 158 (position 4075) of exon 4 of the APOE gene on chromosome 19. Participants were genotyped for APOE alleles by Polymorphic DNA Technologies as part of a collaboration with Allan Roses and Zinfandel. Value coding: 22=E2E2; 23=E2E3; 24=E2E4; 33=E3E3; 34=E3E4; 44=E4E4.	Apolipoprotein E genotype	Measurement	Observable Entity			""	SNOMED			37397776
